Time [s] , Frame nr,Sent pressure 0,Received pressure 0
1.723246,0,0.519999980926514,0.505469971173881
1.726665,1,0.519999980926514,0.505469971173881
2.16679,2,0.519999980926514,0.518803711420674
2.193475,3,0.519999980926514,0.518803711420674
2.202706,4,0.519999980926514,0.518803711420674
2.212359,5,0.519999980926514,0.518803711420674
2.22185,6,0.519999980926514,0.518803711420674
2.231794,7,0.519999980926514,0.518803711420674
2.240308,8,0.519999980926514,0.518803711420674
2.248968,9,0.519999980926514,0.518803711420674
2.257407,10,0.519999980926514,0.518803711420674
2.266233,11,0.519999980926514,0.518803711420674
2.275023,12,0.519999980926514,0.518803711420674
2.284187,13,0.519999980926514,0.518803711420674
2.294461,14,0.519999980926514,0.518803711420674
2.303074,15,0.519999980926514,0.518803711420674
2.31229,16,0.519999980926514,0.518803711420674
2.322096,17,0.519999980926514,0.518803711420674
2.330561,18,0.519999980926514,0.518803711420674
2.340828,19,0.519999980926514,0.518803711420674
2.350915,20,0.519999980926514,0.518803711420674
2.35984,21,0.519999980926514,0.518803711420674
2.368234,22,0.519999980926514,0.518803711420674
2.377088,23,0.519999980926514,0.518803711420674
2.386096,24,0.519999980926514,0.518803711420674
2.395329,25,0.519999980926514,0.518803711420674
2.404369,26,0.519999980926514,0.518803711420674
2.413383,27,0.519999980926514,0.518803711420674
2.423674,28,0.519999980926514,0.518803711420674
2.432646,29,0.519999980926514,0.518197632318547
2.442755,30,0.519999980926514,0.518803711420674
2.452408,31,0.519999980926514,0.518803711420674
2.461715,32,0.519999980926514,0.518803711420674
2.47063,33,0.519999980926514,0.518803711420674
2.479728,34,0.519999980926514,0.518803711420674
2.489535,35,0.519999980926514,0.518803711420674
2.499309,36,0.519999980926514,0.518197632318547
2.508286,37,0.519999980926514,0.518197632318547
2.51743,38,0.519999980926514,0.518803711420674
2.526902,39,0.519999980926514,0.518803711420674
2.537215,40,0.519999980926514,0.518803711420674
2.546087,41,0.519999980926514,0.518803711420674
2.555133,42,0.519999980926514,0.518803711420674
2.564039,43,0.519999980926514,0.518803711420674
2.573469,44,0.519999980926514,0.518803711420674
2.582351,45,0.519999980926514,0.518803711420674
2.591674,46,0.519999980926514,0.518803711420674
2.600565,47,0.519999980926514,0.518197632318547
2.609704,48,0.519999980926514,0.518197632318547
2.618479,49,0.519999980926514,0.518803711420674
2.628501,50,0.519999980926514,0.518803711420674
2.638734,51,0.519999980926514,0.518803711420674
2.64799,52,0.519999980926514,0.518803711420674
2.657126,53,0.519999980926514,0.518803711420674
2.665626,54,0.519999980926514,0.518197632318547
2.675936,55,0.519999980926514,0.518803711420674
2.684285,56,0.519999980926514,0.518803711420674
2.693301,57,0.519999980926514,0.518197632318547
2.70297,58,0.508559556007385,0.518803711420674
2.711549,59,0.508073840141296,0.518803711420674
2.720271,60,0.507601065635681,0.518803711420674
2.729976,61,0.507090692520142,0.518197632318547
2.738976,62,0.506632213592529,0.518197632318547
2.75007,63,0.506088824272156,0.518197632318547
2.759224,64,0.505655298233032,0.518197632318547
2.768917,65,0.505213932991028,0.518197632318547
2.778747,66,0.504784145355225,0.51759155321642
2.787754,67,0.504406704902649,0.516985474114293
2.796256,68,0.504063248634338,0.514561157705785
2.805813,69,0.503693947792053,0.512136841297277
2.815514,70,0.50333728313446,0.510318603990896
2.825064,71,0.503002495765686,0.508500366684515
2.83377,72,0.502712550163269,0.507894287582388
2.842988,73,0.502421617507935,0.507894287582388
2.851767,74,0.502159795761108,0.507288208480261
2.861206,75,0.501894721984863,0.506682129378134
2.870724,76,0.50164445400238,0.506682129378134
2.879877,77,0.501420669555664,0.506076050276008
2.888444,78,0.501225852966309,0.506076050276008
2.897773,79,0.501029667854309,0.506076050276008
2.906795,80,0.500856332778931,0.505469971173881
2.917439,81,0.500672726631164,0.505469971173881
2.926136,82,0.500538287162781,0.505469971173881
2.9348,83,0.500419583320618,0.505469971173881
2.945077,84,0.500297884941101,0.504863892071754
2.955333,85,0.500197067260742,0.505469971173881
2.964525,86,0.500124378204346,0.505469971173881
2.973498,87,0.500069499015808,0.505469971173881
2.98346,88,0.500027112960815,0.505469971173881
2.993938,89,0.500003662109375,0.505469971173881
3.003267,90,0.500001034736633,0.505469971173881
3.0124,91,0.500015106201172,0.505469971173881
3.021491,92,0.500045466423035,0.504863892071754
3.03175,93,0.500099282264709,0.505469971173881
3.040287,94,0.500159888267517,0.505469971173881
3.048687,95,0.500233545303345,0.505469971173881
3.057259,96,0.500323095321655,0.505469971173881
3.066102,97,0.500430431365967,0.505469971173881
3.076099,98,0.50057044506073,0.504863892071754
3.084644,99,0.500705542564392,0.505469971173881
3.09498,100,0.500888166427612,0.504863892071754
3.103606,101,0.5010564661026,0.505469971173881
3.113737,102,0.501272826194763,0.505469971173881
3.122454,103,0.501474652290344,0.504863892071754
3.130794,104,0.501681728363037,0.505469971173881
3.139292,105,0.501906509399414,0.505469971173881
3.147936,106,0.502149410247803,0.504863892071754
3.157087,107,0.502422127723694,0.504863892071754
3.166766,108,0.502728390693664,0.505469971173881
3.176448,109,0.503052067756653,0.504863892071754
3.185515,110,0.503371605873108,0.504863892071754
3.196106,111,0.503764543533325,0.505469971173881
3.204501,112,0.504091210365295,0.504863892071754
3.213776,113,0.504467086791992,0.505469971173881
3.223384,114,0.504872508049011,0.505469971173881
3.231913,115,0.505248627662659,0.505469971173881
3.242524,116,0.505733237266541,0.505469971173881
3.251257,117,0.506148843765259,0.505469971173881
3.260139,118,0.506585259437561,0.505469971173881
3.270532,119,0.507113733291626,0.505469971173881
